[14Jan2025 04:25:15.187] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 43.4.2, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853, nogui]
[14Jan2025 04:25:15.193] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.13 by Ubuntu; OS Linux arch amd64 version 6.5.0-1025-azure
[14Jan2025 04:25:18.076] [main/INFO] [com.teampotato.redirector.Redirector/]: Redirector CoreMod initialized successfully!
[14Jan2025 04:25:18.126] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/lol/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2363!/ Service=ModLauncher Env=SERVER
[14Jan2025 04:25:18.206] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[14Jan2025 04:25:18.207] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/lol/servidor_minecraft
[14Jan2025 04:25:18.208] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/lol/servidor_minecraft/mods
[14Jan2025 04:25:18.208] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[14Jan2025 04:25:18.210] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/lol/servidor_minecraft/config/mods_optimizer/config.toml
[14Jan2025 04:25:18.251] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/lol/servidor_minecraft and mods dir /workspaces/lol/servidor_minecraft/mods for target SERVER in 41 ms.
[14Jan2025 04:25:18.252] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[14Jan2025 04:25:18.253] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~302 mods in /workspaces/lol/servidor_minecraft/mods with file extension .jar ...
[14Jan2025 04:25:18.296] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to DEFAULT
[14Jan2025 04:25:18.299] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/lol/servidor_minecraft/mods/Explorify v1.6.2 f10-48.jar, which is expected in some cases.
[14Jan2025 04:25:18.354] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for smoothchunk from DEFAULT to SERVER
[14Jan2025 04:25:18.358] [main/ERROR] [Mods Optimizer/]: TOML file META-INF/mods.toml not found in java.util.jar.JarFile@1d035be3
[14Jan2025 04:25:18.359] [main/WARN] [Mods Optimizer/]: ⚠ Found no META-INF/mods.toml file for /workspaces/lol/servidor_minecraft/mods/kotlinforforge-3.12.0-all.jar!
[14Jan2025 04:25:18.367] [main/WARN] [Mods Optimizer/]: ⚠ Found no version tag inside the fabric.mod.json file /workspaces/lol/servidor_minecraft/mods/webdisplays-1.3.3.jar!
[14Jan2025 04:25:18.442] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.the_bumblezone[1] section of the mods.toml file /workspaces/lol/servidor_minecraft/mods/the_bumblezone_forge-6.9.13+1.19.2.jar!
[14Jan2025 04:25:18.449] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp Sep 23, 2023:
[14Jan2025 04:25:18.576] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.patchouli[0] section of the mods.toml file /workspaces/lol/servidor_minecraft/mods/Patchouli-1.19.2-77.jar!
[14Jan2025 04:25:18.614] [main/WARN] [Mods Optimizer/]: ⚠ Found no name tag inside the fabric.mod.json file /workspaces/lol/servidor_minecraft/mods/PrettyPipes-1.13.6.jar!
[14Jan2025 04:25:18.621] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/lol/servidor_minecraft/mods/dungeons-and-taverns-2.0.2 forge.jar, which is expected in some cases.
[14Jan2025 04:25:18.639] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/lol/servidor_minecraft/mods/hearths-v1.0.0-mc1.19u1.19.3.jar, which is expected in some cases.
[14Jan2025 04:25:18.648] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/lol/servidor_minecraft/mods/vanilla-refresh-1.4.17c.jar, which is expected in some cases.
[14Jan2025 04:25:18.661] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for paraglider from UNKNOWN to DEFAULT
[14Jan2025 04:25:18.674] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 1 library mods in 266 mods.
[14Jan2025 04:25:18.675] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 5 data pack mods in 266 mods.
[14Jan2025 04:25:18.675] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 3 server mods in 266 mods.
[14Jan2025 04:25:18.676] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 257 default mods in 266 mods.
[14Jan2025 04:25:18.676] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[14Jan2025 04:25:18.677] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[14Jan2025 04:25:18.677] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[14Jan2025 04:25:18.678] [main/INFO] [Mods Optimizer/]: | maenchants                         | 1.19.2-6.0.0           | FORGE    | DEFAULT           | 2022-11-10 02:03:19 |
[14Jan2025 04:25:18.679] [main/INFO] [Mods Optimizer/]: | dynamiclightsreforged              | 0.0.0                  | FORGE    | DEFAULT           | 2023-01-01 14:27:23 |
[14Jan2025 04:25:18.680] [main/INFO] [Mods Optimizer/]: | saturn                             | 0.1.4                  | FORGE    | DEFAULT           | 2024-03-06 12:06:34 |
[14Jan2025 04:25:18.680] [main/INFO] [Mods Optimizer/]: | supermartijn642configlib           | 1.1.8                  | FORGE    | DEFAULT           | 2025-01-13 19:40:56 |
[14Jan2025 04:25:18.681] [main/INFO] [Mods Optimizer/]: | hookah_mod                         | 0.3.0                  | FORGE    | UNKNOWN           | 2025-01-13 19:42:16 |
[14Jan2025 04:25:18.682] [main/INFO] [Mods Optimizer/]: | alexsmobs                          | 1.21.1                 | FORGE    | DEFAULT           | 2022-12-09 12:30:43 |
[14Jan2025 04:25:18.683] [main/INFO] [Mods Optimizer/]: | infernalexp                        | 2.5.1                  | FORGE    | DEFAULT           | 2025-01-13 19:37:54 |
[14Jan2025 04:25:18.683] [main/INFO] [Mods Optimizer/]: | l2artifacts                        | 1.8.4                  | FORGE    | DEFAULT           | 2024-06-03 12:00:36 |
[14Jan2025 04:25:18.684] [main/INFO] [Mods Optimizer/]: | happy_candies                      | 1.0.0                  | FORGE    | UNKNOWN           | 2025-01-13 19:41:52 |
[14Jan2025 04:25:18.685] [main/INFO] [Mods Optimizer/]: | nethervillagertrader               | 1.2.0                  | FORGE    | UNKNOWN           | 2025-01-13 19:39:51 |
[14Jan2025 04:25:18.685] [main/INFO] [Mods Optimizer/]: | playeranimator                     | 1.0.2                  | FORGE    | UNKNOWN           | 2025-01-13 19:40:08 |
[14Jan2025 04:25:18.688] [main/INFO] [Mods Optimizer/]: | stalwart_dungeons                  | 1.2.8                  | FORGE    | UNKNOWN           | 2025-01-13 19:40:51 |
[14Jan2025 04:25:18.689] [main/INFO] [Mods Optimizer/]: | etched                             | 2.3.2                  | FORGE    | DEFAULT           | 2025-01-13 19:37:20 |
[14Jan2025 04:25:18.689] [main/INFO] [Mods Optimizer/]: | sound_physics_remastered           | 1.19.2-1.4.5           | FORGE    | DEFAULT           | 2024-07-12 09:21:34 |
[14Jan2025 04:25:18.690] [main/INFO] [Mods Optimizer/]: | aileron                            | 1.0.2                  | FORGE    | DEFAULT           | 2025-01-13 19:35:53 |
[14Jan2025 04:25:18.690] [main/INFO] [Mods Optimizer/]: | modernfix                          | 5.18.1+mc1.19.2        | FORGE    | DEFAULT           | 2025-01-13 19:39:33 |
[14Jan2025 04:25:18.691] [main/INFO] [Mods Optimizer/]: | maxhealthfix                       | 8.0.2                  | FORGE    | DEFAULT           | 2023-07-22 16:20:27 |
[14Jan2025 04:25:18.692] [main/INFO] [Mods Optimizer/]: | hnh                                | 1.19.2-1.0.1           | FORGE    | DEFAULT           | 2025-01-13 19:37:42 |
[14Jan2025 04:25:18.692] [main/INFO] [Mods Optimizer/]: | qualitysounds                      | 1.5.0                  | FORGE    | DEFAULT           | 2023-10-18 23:08:54 |
[14Jan2025 04:25:18.693] [main/INFO] [Mods Optimizer/]: | blocky_siege                       | 6.1.91                 | MIXED    | UNKNOWN           | 2025-01-13 19:36:12 |
[14Jan2025 04:25:18.693] [main/INFO] [Mods Optimizer/]: | fastconfigapi                      | 1.1.0                  | FORGE    | DEFAULT           | 2025-01-13 19:37:29 |
[14Jan2025 04:25:18.694] [main/INFO] [Mods Optimizer/]: | minetraps                          | 0.0.0                  | FORGE    | DEFAULT           | 2024-06-18 20:40:20 |
[14Jan2025 04:25:18.694] [main/INFO] [Mods Optimizer/]: | balm                               | 4.6.0                  | FORGE    | DEFAULT           | 2023-09-14 12:22:22 |
[14Jan2025 04:25:18.695] [main/INFO] [Mods Optimizer/]: | labels                             | 1.19.2-1.10            | FORGE    | DEFAULT           | 2025-01-13 19:38:53 |
[14Jan2025 04:25:18.695] [main/INFO] [Mods Optimizer/]: | evenmoreinstruments                | 6.1.3                  | FORGE    | DEFAULT           | 2024-10-20 15:43:19 |
[14Jan2025 04:25:18.696] [main/INFO] [Mods Optimizer/]: | whatareyouvotingfor                | 1.0.0                  | FORGE    | DEFAULT           | 2023-02-23 20:07:48 |
[14Jan2025 04:25:18.696] [main/INFO] [Mods Optimizer/]: | spelunkery                         | 1.19.2-0.2.6           | FORGE    | DEFAULT           | 2025-01-13 19:40:49 |
[14Jan2025 04:25:18.697] [main/INFO] [Mods Optimizer/]: | cloth_config                       | 8.3.134                | FORGE    | DEFAULT           | 2025-01-13 19:36:26 |
[14Jan2025 04:25:18.698] [main/INFO] [Mods Optimizer/]: | paraglider                         | 1.7.0-5                | FORGE    | DEFAULT           | 2023-04-07 05:31:13 |
[14Jan2025 04:25:18.698] [main/INFO] [Mods Optimizer/]: | shetiphiancore                     | 3.11.12                | FORGE    | DEFAULT           | 2025-01-13 19:40:34 |
